origin,destination,distance
"Taliesin, County Road C, Spring Green, Wisconsin","Glacier National Park, West Glacier, MT",2218019
"French Quarter, New Orleans, LA","Fort Snelling, Tower Avenue, Saint Paul, MN",1916146
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","The Breakers, Ochre Point Avenue, Newport, RI",3057999
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",2347381
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Gateway Arch, Washington Avenue, St Louis, MO",455098
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Graceland, Elvis Presley Boulevard, Memphis, TN",1476772
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Carlsbad Caverns National Park, Carlsbad, NM",874048
"Liberty Bell, 6th Street, Philadelphia, PA","Cape Canaveral, FL",1618906
"Liberty Bell, 6th Street, Philadelphia, PA","The Breakers, Ochre Point Avenue, Newport, RI",441382
"San Andreas Fault, San Benito County, CA","French Quarter, New Orleans, LA",3481242
"USS Alabama, Battleship Parkway, Mobile, AL","Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND",2975383
"Graceland, Elvis Presley Boulevard, Memphis, TN","Yellowstone National Park, WY 82190",2487165
"Shelburne Farms, Harbor Road, Shelburne, VT","Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH",1280422
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1667022
"Liberty Bell, 6th Street, Philadelphia, PA","Terrace Hill, Grand Avenue, Des Moines, IA",1737865
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Statue of Liberty, Liberty Island, NYC, NY",577249
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Ashfall Fossil Bed, Royal, NE",976321
"Liberty Bell, 6th Street, Philadelphia, PA","Bryce Canyon National Park, Hwy 63, Bryce, UT",3687679
"USS Alabama, Battleship Parkway, Mobile, AL","Congress Hall, Congress Place, Cape May, NJ 08204",1862015
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1297516
"Taliesin, County Road C, Spring Green, Wisconsin","The Breakers, Ochre Point Avenue, Newport, RI",1855961
"Toltec Mounds, Scott, AR","Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND",2344430
"Mount Vernon, Fairfax County, Virginia","Congress Hall, Congress Place, Cape May, NJ 08204",324587
"Acadia National Park, Maine","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",2101168
"New Castle Historic District, Delaware","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1264487
"Hanford Site, Benton County, WA","Columbia River Gorge National Scenic Area, Oregon",202197
"Graceland, Elvis Presley Boulevard, Memphis, TN","The Breakers, Ochre Point Avenue, Newport, RI",2057815
"Hanford Site, Benton County, WA","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",4548872
"Hoover Dam, NV","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",2925806
"Liberty Bell, 6th Street, Philadelphia, PA","The Alamo, Alamo Plaza, San Antonio, TX",2800673
"Fort Snelling, Tower Avenue, Saint Paul, MN","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",3156193
"Mount Vernon, Fairfax County, Virginia","Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND",2868913
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","The Breakers, Ochre Point Avenue, Newport, RI",2700531
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Toltec Mounds, Scott, AR",1872657
"Mount Vernon, Fairfax County, Virginia","Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH",829832
"Carlsbad Caverns National Park, Carlsbad, NM","Craters of the Moon National Monument & Preserve, Arco, ID",1875346
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",3794883
"Bryce Canyon National Park, Hwy 63, Bryce, UT","Ashfall Fossil Bed, Royal, NE",1693953
"Lost World Caverns, Lewisburg, WV","Statue of Liberty, Liberty Island, NYC, NY",770142
"Craters of the Moon National Monument & Preserve, Arco, ID","Congress Hall, Congress Place, Cape May, NJ 08204",3853634
"Hanford Site, Benton County, WA","New Castle Historic District, Delaware",4363313
"San Andreas Fault, San Benito County, CA","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",3667715
"Toltec Mounds, Scott, AR","Glacier National Park, West Glacier, MT",3041488
"USS Alabama, Battleship Parkway, Mobile, AL","Maryland State House, 100 State Cir, Annapolis, MD 21401",1613845
"Lost World Caverns, Lewisburg, WV","Fort Sumter National Monument, Sullivan's Island, SC",690404
"Toltec Mounds, Scott, AR","Shelburne Farms, Harbor Road, Shelburne, VT",2274624
"Maryland State House, 100 State Cir, Annapolis, MD 21401","New Castle Historic District, Delaware",100318
"Toltec Mounds, Scott, AR","Ashfall Fossil Bed, Royal, NE",1276957
"Mount Vernon, Fairfax County, Virginia","Olympia Entertainment, Woodward Avenue, Detroit, MI",869309
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Columbia River Gorge National Scenic Area, Oregon",1747344
"USS Alabama, Battleship Parkway, Mobile, AL","Graceland, Elvis Presley Boulevard, Memphis, TN",582585
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Fort Sumter National Monument, Sullivan's Island, SC",1885895
"Lost World Caverns, Lewisburg, WV","French Quarter, New Orleans, LA",1441808
"USS Alabama, Battleship Parkway, Mobile, AL","Olympia Entertainment, Woodward Avenue, Detroit, MI",1585831
"Mount Vernon, Fairfax County, Virginia","Acadia National Park, Maine",1159086
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","The Breakers, Ochre Point Avenue, Newport, RI",2264052
"Acadia National Park, Maine","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",2293420
"Hoover Dam, NV","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",2972025
"Hoover Dam, NV","Ashfall Fossil Bed, Royal, NE",2042375
"Fort Sumter National Monument, Sullivan's Island, SC","French Quarter, New Orleans, LA",1223403
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Yellowstone National Park, WY 82190",1152968
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",3143831
